[2026-05-27T07:52:11.444897] Task 229 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:11.452849] Task 229 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #255 | Worker: None
[2026-05-27T07:52:11.458796] Task 230 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:11.468092] Task 230 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:11.474301] Task 231 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:11.485086] Task 231 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:11.500282] Task 229 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:52:11.505016] Task 229 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:52:11.620257] Task 229 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 256) created | Worker: worker-3
[2026-05-27T07:52:11.648386] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:52:11.672037] Task 229 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:52:11.776865] Task 230 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:11.788333] Task 230 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:52:12.007219] Task 230 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:52:12.069786] Task 230 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 257) created | Worker: worker-2
[2026-05-27T07:52:12.095423] Task 230 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:52:12.196018] Task 231 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:12.205810] Task 231 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:52:12.437285] Task 231 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:52:15.623802] Task 231 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 258) created | Worker: worker-1
[2026-05-27T07:52:15.702477] Task 231 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:52:15.836324] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:52:15.868080] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
