[2026-05-27T07:52:52.596195] Task 259 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:52.620161] Task 259 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #290 | Worker: None
[2026-05-27T07:52:52.647589] Task 260 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:52.670582] Task 260 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:52.696338] Task 261 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:52.713642] Task 261 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:52.759359] Task 259 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:52:52.784518] Task 259 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:52:53.417770] Task 259 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 291) created | Worker: worker-3
[2026-05-27T07:52:53.479622] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:52:53.557708] Task 259 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:52:53.883599] Task 260 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:53.898901] Task 260 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:52:54.149528] Task 260 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:52:54.368638] Task 260 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 292) created | Worker: worker-2
[2026-05-27T07:52:54.419168] Task 260 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:52:54.745119] Task 261 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:54.783300] Task 261 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:52:55.054829] Task 261 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:52:56.301385] Task 261 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 293) created | Worker: worker-1
[2026-05-27T07:52:56.353054] Task 261 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:52:56.407391] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:52:56.426571] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
