[2026-05-27T07:51:18.822548] Task 193 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:18.837076] Task 193 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #213 | Worker: None
[2026-05-27T07:51:18.850606] Task 194 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:18.877068] Task 194 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:18.890245] Task 195 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:18.903212] Task 195 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:18.922682] Task 193 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:51:18.937038] Task 193 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:51:19.102565] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 assumed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:51:19.179310] Task 193 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 214) created | Worker: worker-2
[2026-05-27T07:51:19.228582] Task 193 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:51:19.457598] Task 194 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:19.491954] Task 194 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:51:19.726940] Task 194 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:51:19.827124] Task 194 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 215) created | Worker: worker-1
[2026-05-27T07:51:19.861337] Task 194 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:51:19.996169] Task 195 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:20.008437] Task 195 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:51:20.232990] Task 195 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:51:20.647649] Task 195 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 216) created | Worker: worker-3
[2026-05-27T07:51:20.684966] Task 195 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:51:20.722510] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:51:20.737896] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
