[2026-05-27T07:51:32.180996] Task 205 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:32.211653] Task 206 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:32.230232] Task 206 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:32.244154] Task 207 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:32.261700] Task 207 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:32.289481] Task 205 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:51:32.309466] Task 205 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:51:32.544422] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:51:32.582574] Task 205 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:51:32.780157] Task 206 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:51:33.010973] Task 206 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:51:33.183950] Task 206 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:51:33.637944] Task 207 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:51:33.873480] Task 207 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:51:34.234141] Task 207 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:51:34.293832] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:51:34.319619] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
