[2026-05-27T07:51:45.693501] Task 217 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:45.707280] Task 217 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #241 | Worker: None
[2026-05-27T07:51:45.717615] Task 218 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:45.731142] Task 218 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:45.745961] Task 219 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:45.761721] Task 219 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:45.783937] Task 217 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:51:45.800520] Task 217 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:51:46.412068] Task 217 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 242) created | Worker: worker-2
[2026-05-27T07:51:46.456536] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:51:46.496502] Task 217 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:51:46.672840] Task 218 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:46.687863] Task 218 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:51:46.913557] Task 218 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:51:47.018757] Task 218 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 243) created | Worker: worker-1
[2026-05-27T07:51:47.053261] Task 218 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:51:47.239145] Task 219 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:47.253540] Task 219 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:51:47.475847] Task 219 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:51:47.704427] Task 219 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 244) created | Worker: worker-3
[2026-05-27T07:51:47.744188] Task 219 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:51:47.776920] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:51:47.793977] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
