[2026-05-27T07:53:08.163586] Task 271 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:53:08.178953] Task 271 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #304 | Worker: None
[2026-05-27T07:53:08.189329] Task 272 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:53:08.198372] Task 272 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:53:08.210027] Task 273 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:53:08.223470] Task 273 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:53:08.241712] Task 271 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:53:08.259288] Task 271 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:53:08.281955] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 assumed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:53:08.442776] Task 271 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 305) created | Worker: worker-3
[2026-05-27T07:53:08.479587] Task 271 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:53:08.850107] Task 272 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:53:08.879727] Task 272 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:53:09.117485] Task 272 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:53:09.437703] Task 272 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 306) created | Worker: worker-2
[2026-05-27T07:53:09.664272] Task 272 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:53:09.922457] Task 273 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:53:09.937611] Task 273 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:53:10.158880] Task 273 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:53:10.362406] Task 273 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 307) created | Worker: worker-1
[2026-05-27T07:53:10.400292] Task 273 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:53:10.442324] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:53:10.461710] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
