[2026-05-27T07:52:32.172050] Task 241 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:32.216226] Task 241 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #269 | Worker: None
[2026-05-27T07:52:32.240802] Task 242 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:32.270808] Task 242 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:32.300329] Task 243 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:32.331905] Task 243 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:32.387330] Task 241 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:52:32.404432] Task 241 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:52:32.662124] Task 241 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 270) created | Worker: worker-3
[2026-05-27T07:52:32.710602] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:52:32.776646] Task 241 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:52:33.082863] Task 242 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:33.110066] Task 242 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:52:33.343117] Task 242 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:52:33.481250] Task 242 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 271) created | Worker: worker-2
[2026-05-27T07:52:33.518373] Task 242 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:52:33.676431] Task 243 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:33.695749] Task 243 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:52:33.931513] Task 243 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:52:34.328777] Task 243 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 272) created | Worker: worker-1
[2026-05-27T07:52:34.380127] Task 243 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:52:34.441636] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:52:34.463850] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
