[2026-05-27T07:50:45.791477] Task 169 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:50:45.826327] Task 169 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #185 | Worker: None
[2026-05-27T07:50:45.850060] Task 170 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:50:45.873931] Task 170 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:50:45.907836] Task 171 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:50:45.933511] Task 171 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:50:45.982621] Task 169 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:50:46.033907] Task 169 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:50:46.408847] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 assumed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:50:46.790493] Task 169 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 186) created | Worker: worker-1
[2026-05-27T07:50:46.866715] Task 169 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:50:47.042523] Task 170 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:50:47.068345] Task 170 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:50:47.314890] Task 170 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:50:47.522840] Task 170 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 187) created | Worker: worker-3
[2026-05-27T07:50:47.564794] Task 170 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:50:47.745657] Task 171 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:50:47.764764] Task 171 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:50:48.014770] Task 171 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:50:51.172393] Task 171 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 188) created | Worker: worker-2
[2026-05-27T07:50:51.262243] Task 171 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:50:51.396642] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:50:51.451494] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
