[2026-05-27T07:52:45.991165] Task 253 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:46.017203] Task 253 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #283 | Worker: None
[2026-05-27T07:52:46.038481] Task 254 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:46.058582] Task 254 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:46.078501] Task 255 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:46.105254] Task 255 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:46.138712] Task 253 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:52:46.161114] Task 253 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:52:46.439252] Task 253 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 284) created | Worker: worker-3
[2026-05-27T07:52:46.490450] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:52:46.540163] Task 253 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:52:46.902230] Task 254 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:46.929455] Task 254 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:52:47.180346] Task 254 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:52:47.352451] Task 254 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 285) created | Worker: worker-2
[2026-05-27T07:52:47.399182] Task 254 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:52:47.556110] Task 255 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:52:47.574135] Task 255 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:52:47.804498] Task 255 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:52:48.007201] Task 255 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 286) created | Worker: worker-1
[2026-05-27T07:52:48.036775] Task 255 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:52:48.066274] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:52:48.077950] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
