[2026-05-27T07:51:38.923382] Task 211 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:38.941797] Task 211 | Event: ARTIFACT_CREATED | Message: Root task received input artifact #234 | Worker: None
[2026-05-27T07:51:38.959487] Task 212 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:38.980809] Task 212 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:38.996144] Task 213 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:51:39.010588] Task 213 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:51:39.031173] Task 211 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:51:39.044373] Task 211 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:51:39.345388] Task 211 | Event: ARTIFACT_CREATED | Message: Artifact 'parsed_text' (ID: 235) created | Worker: worker-2
[2026-05-27T07:51:39.409976] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:51:39.462456] Task 211 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:51:39.757704] Task 212 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:39.777981] Task 212 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:51:40.005017] Task 212 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:51:40.092901] Task 212 | Event: ARTIFACT_CREATED | Message: Artifact 'text_chunks' (ID: 236) created | Worker: worker-1
[2026-05-27T07:51:40.135794] Task 212 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:51:40.319775] Task 213 | Event: DEPENDENCY_RELEASED | Message: All dependencies completed. Released into medium queue. | Worker: None
[2026-05-27T07:51:40.333595] Task 213 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:51:40.566563] Task 213 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:51:40.767889] Task 213 | Event: ARTIFACT_CREATED | Message: Artifact 'vector_index' (ID: 237) created | Worker: worker-3
[2026-05-27T07:51:40.814125] Task 213 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:51:40.856677] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:51:40.878215] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
